epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
65,1.0,tanh,RMSprop,45,1,3,8.797264e-08
65,1.0,tanh,RMSprop,40,1,3,8.797264e-08
65,1.0,tanh,RMSprop,35,1,3,8.797264e-08
65,1.0,tanh,RMSprop,30,1,3,8.797264e-08
65,1.0,tanh,RMSprop,25,1,3,8.797264e-08
65,1.0,tanh,RMSprop,20,1,3,8.797264e-08
65,1.0,tanh,RMSprop,15,1,3,8.797264e-08
90,1.0,tanh,RMSprop,45,1,3,8.797264e-08
90,1.0,tanh,RMSprop,50,1,3,8.797264e-08
60,1.0,tanh,RMSprop,100,1,3,8.797264e-08
60,1.0,tanh,RMSprop,95,1,3,8.797264e-08
60,1.0,tanh,RMSprop,90,1,3,8.797264e-08
60,1.0,tanh,RMSprop,85,1,3,8.797264e-08
60,1.0,tanh,RMSprop,80,1,3,8.797264e-08
60,1.0,tanh,RMSprop,75,1,3,8.797264e-08
60,1.0,tanh,RMSprop,70,1,3,8.797264e-08
55,1.0,tanh,RMSprop,55,1,3,8.797264e-08
55,1.0,tanh,RMSprop,45,1,3,8.797264e-08
85,1.0,tanh,RMSprop,80,1,3,8.797264e-08
50,1.0,tanh,RMSprop,40,1,3,8.797264e-08
50,1.0,tanh,RMSprop,30,1,3,8.797264e-08
50,1.0,tanh,RMSprop,25,1,3,8.797264e-08
90,1.0,tanh,RMSprop,80,1,3,8.797264e-08
90,1.0,tanh,RMSprop,85,1,3,8.797264e-08
50,1.0,tanh,RMSprop,10,1,3,8.797264e-08
90,1.0,tanh,RMSprop,90,1,3,8.797264e-08
45,1.0,tanh,RMSprop,100,1,3,8.797264e-08
45,1.0,tanh,RMSprop,95,1,3,8.797264e-08
45,1.0,tanh,RMSprop,90,1,3,8.797264e-08
45,1.0,tanh,RMSprop,85,1,3,8.797264e-08
45,1.0,tanh,RMSprop,80,1,3,8.797264e-08
45,1.0,tanh,RMSprop,75,1,3,8.797264e-08
45,1.0,tanh,RMSprop,70,1,3,8.797264e-08
45,1.0,tanh,RMSprop,65,1,3,8.797264e-08
45,1.0,tanh,RMSprop,60,1,3,8.797264e-08
45,1.0,tanh,RMSprop,55,1,3,8.797264e-08
45,1.0,tanh,RMSprop,50,1,3,8.797264e-08
50,1.0,tanh,RMSprop,35,1,3,8.797264e-08
50,1.0,tanh,RMSprop,45,1,3,8.797264e-08
55,1.0,tanh,RMSprop,40,1,3,8.797264e-08
50,1.0,tanh,RMSprop,50,1,3,8.797264e-08
55,1.0,tanh,RMSprop,35,1,3,8.797264e-08
55,1.0,tanh,RMSprop,30,1,3,8.797264e-08
55,1.0,tanh,RMSprop,25,1,3,8.797264e-08
55,1.0,tanh,RMSprop,20,1,3,8.797264e-08
90,1.0,tanh,RMSprop,65,1,3,8.797264e-08
90,1.0,tanh,RMSprop,70,1,3,8.797264e-08
90,1.0,tanh,RMSprop,75,1,3,8.797264e-08
50,1.0,tanh,RMSprop,100,1,3,8.797264e-08
50,1.0,tanh,RMSprop,95,1,3,8.797264e-08
50,1.0,tanh,RMSprop,90,1,3,8.797264e-08
50,1.0,tanh,RMSprop,85,1,3,8.797264e-08
50,1.0,tanh,RMSprop,80,1,3,8.797264e-08
50,1.0,tanh,RMSprop,75,1,3,8.797264e-08
50,1.0,tanh,RMSprop,70,1,3,8.797264e-08
50,1.0,tanh,RMSprop,65,1,3,8.797264e-08
50,1.0,tanh,RMSprop,60,1,3,8.797264e-08
50,1.0,tanh,RMSprop,55,1,3,8.797264e-08
65,1.0,tanh,RMSprop,55,1,3,8.797264e-08
65,1.0,tanh,RMSprop,60,1,3,8.797264e-08
65,1.0,tanh,RMSprop,65,1,3,8.797264e-08
80,1.0,tanh,RMSprop,75,1,3,8.797264e-08
80,1.0,tanh,RMSprop,65,1,3,8.797264e-08
80,1.0,tanh,RMSprop,60,1,3,8.797264e-08
80,1.0,tanh,RMSprop,55,1,3,8.797264e-08
80,1.0,tanh,RMSprop,50,1,3,8.797264e-08
80,1.0,tanh,RMSprop,45,1,3,8.797264e-08
80,1.0,tanh,RMSprop,40,1,3,8.797264e-08
80,1.0,tanh,RMSprop,35,1,3,8.797264e-08
80,1.0,tanh,RMSprop,30,1,3,8.797264e-08
80,1.0,tanh,RMSprop,25,1,3,8.797264e-08
80,1.0,tanh,RMSprop,20,1,3,8.797264e-08
85,1.0,tanh,RMSprop,100,1,3,8.797264e-08
90,1.0,tanh,RMSprop,15,1,3,8.797264e-08
75,1.0,tanh,RMSprop,100,1,3,8.797264e-08
75,1.0,tanh,RMSprop,95,1,3,8.797264e-08
75,1.0,tanh,RMSprop,90,1,3,8.797264e-08
75,1.0,tanh,RMSprop,85,1,3,8.797264e-08
75,1.0,tanh,RMSprop,80,1,3,8.797264e-08
80,1.0,tanh,RMSprop,70,1,3,8.797264e-08
80,1.0,tanh,RMSprop,80,1,3,8.797264e-08
65,1.0,tanh,RMSprop,70,1,3,8.797264e-08
80,1.0,tanh,RMSprop,85,1,3,8.797264e-08
85,1.0,tanh,RMSprop,70,1,3,8.797264e-08
85,1.0,tanh,RMSprop,65,1,3,8.797264e-08
85,1.0,tanh,RMSprop,60,1,3,8.797264e-08
85,1.0,tanh,RMSprop,55,1,3,8.797264e-08
85,1.0,tanh,RMSprop,50,1,3,8.797264e-08
85,1.0,tanh,RMSprop,45,1,3,8.797264e-08
85,1.0,tanh,RMSprop,40,1,3,8.797264e-08
85,1.0,tanh,RMSprop,35,1,3,8.797264e-08
85,1.0,tanh,RMSprop,30,1,3,8.797264e-08
85,1.0,tanh,RMSprop,25,1,3,8.797264e-08
85,1.0,tanh,RMSprop,20,1,3,8.797264e-08
85,1.0,tanh,RMSprop,85,1,3,8.797264e-08
85,1.0,tanh,RMSprop,90,1,3,8.797264e-08
85,1.0,tanh,RMSprop,95,1,3,8.797264e-08
80,1.0,tanh,RMSprop,100,1,3,8.797264e-08
80,1.0,tanh,RMSprop,95,1,3,8.797264e-08
80,1.0,tanh,RMSprop,90,1,3,8.797264e-08
75,1.0,tanh,RMSprop,75,1,3,8.797264e-08
75,1.0,tanh,RMSprop,70,1,3,8.797264e-08
75,1.0,tanh,RMSprop,65,1,3,8.797264e-08
75,1.0,tanh,RMSprop,60,1,3,8.797264e-08
70,1.0,tanh,RMSprop,55,1,3,8.797264e-08
70,1.0,tanh,RMSprop,50,1,3,8.797264e-08
70,1.0,tanh,RMSprop,45,1,3,8.797264e-08
70,1.0,tanh,RMSprop,40,1,3,8.797264e-08
70,1.0,tanh,RMSprop,35,1,3,8.797264e-08
70,1.0,tanh,RMSprop,30,1,3,8.797264e-08
70,1.0,tanh,RMSprop,25,1,3,8.797264e-08
70,1.0,tanh,RMSprop,20,1,3,8.797264e-08
70,1.0,tanh,RMSprop,15,1,3,8.797264e-08
90,1.0,tanh,RMSprop,35,1,3,8.797264e-08
90,1.0,tanh,RMSprop,40,1,3,8.797264e-08
65,1.0,tanh,RMSprop,100,1,3,8.797264e-08
65,1.0,tanh,RMSprop,95,1,3,8.797264e-08
65,1.0,tanh,RMSprop,90,1,3,8.797264e-08
65,1.0,tanh,RMSprop,85,1,3,8.797264e-08
65,1.0,tanh,RMSprop,80,1,3,8.797264e-08
65,1.0,tanh,RMSprop,75,1,3,8.797264e-08
70,1.0,tanh,RMSprop,60,1,3,8.797264e-08
70,1.0,tanh,RMSprop,65,1,3,8.797264e-08
70,1.0,tanh,RMSprop,70,1,3,8.797264e-08
75,1.0,tanh,RMSprop,20,1,3,8.797264e-08
75,1.0,tanh,RMSprop,55,1,3,8.797264e-08
75,1.0,tanh,RMSprop,50,1,3,8.797264e-08
75,1.0,tanh,RMSprop,45,1,3,8.797264e-08
75,1.0,tanh,RMSprop,40,1,3,8.797264e-08
75,1.0,tanh,RMSprop,35,1,3,8.797264e-08
75,1.0,tanh,RMSprop,30,1,3,8.797264e-08
75,1.0,tanh,RMSprop,25,1,3,8.797264e-08
90,1.0,tanh,RMSprop,20,1,3,8.797264e-08
70,1.0,tanh,RMSprop,75,1,3,8.797264e-08
90,1.0,tanh,RMSprop,25,1,3,8.797264e-08
90,1.0,tanh,RMSprop,30,1,3,8.797264e-08
70,1.0,tanh,RMSprop,100,1,3,8.797264e-08
70,1.0,tanh,RMSprop,95,1,3,8.797264e-08
70,1.0,tanh,RMSprop,90,1,3,8.797264e-08
70,1.0,tanh,RMSprop,85,1,3,8.797264e-08
70,1.0,tanh,RMSprop,80,1,3,8.797264e-08
45,1.0,tanh,RMSprop,45,1,3,8.797264e-08
45,1.0,tanh,RMSprop,40,1,3,8.797264e-08
45,1.0,tanh,RMSprop,35,1,3,8.797264e-08
20,1.0,tanh,RMSprop,25,1,3,8.797264e-08
95,1.0,tanh,RMSprop,75,1,3,8.797264e-08
15,1.0,tanh,RMSprop,100,1,3,8.797264e-08
15,1.0,tanh,RMSprop,95,1,3,8.797264e-08
15,1.0,tanh,RMSprop,90,1,3,8.797264e-08
15,1.0,tanh,RMSprop,85,1,3,8.797264e-08
15,1.0,tanh,RMSprop,80,1,3,8.797264e-08
15,1.0,tanh,RMSprop,75,1,3,8.797264e-08
15,1.0,tanh,RMSprop,70,1,3,8.797264e-08
15,1.0,tanh,RMSprop,65,1,3,8.797264e-08
15,1.0,tanh,RMSprop,60,1,3,8.797264e-08
15,1.0,tanh,RMSprop,55,1,3,8.797264e-08
15,1.0,tanh,RMSprop,50,1,3,8.797264e-08
15,1.0,tanh,RMSprop,45,1,3,8.797264e-08
15,1.0,tanh,RMSprop,40,1,3,8.797264e-08
15,1.0,tanh,RMSprop,35,1,3,8.797264e-08
15,1.0,tanh,RMSprop,30,1,3,8.797264e-08
15,1.0,tanh,RMSprop,25,1,3,8.797264e-08
20,1.0,tanh,RMSprop,20,1,3,8.797264e-08
20,1.0,tanh,RMSprop,30,1,3,8.797264e-08
25,1.0,tanh,RMSprop,30,1,3,8.797264e-08
20,1.0,tanh,RMSprop,35,1,3,8.797264e-08
45,1.0,tanh,RMSprop,30,1,3,8.797264e-08
25,1.0,tanh,RMSprop,15,1,3,8.797264e-08
95,1.0,tanh,RMSprop,65,1,3,8.797264e-08
95,1.0,tanh,RMSprop,70,1,3,8.797264e-08
20,1.0,tanh,RMSprop,100,1,3,8.797264e-08
20,1.0,tanh,RMSprop,95,1,3,8.797264e-08
20,1.0,tanh,RMSprop,90,1,3,8.797264e-08
20,1.0,tanh,RMSprop,85,1,3,8.797264e-08
20,1.0,tanh,RMSprop,80,1,3,8.797264e-08
20,1.0,tanh,RMSprop,75,1,3,8.797264e-08
20,1.0,tanh,RMSprop,70,1,3,8.797264e-08
20,1.0,tanh,RMSprop,65,1,3,8.797264e-08
20,1.0,tanh,RMSprop,60,1,3,8.797264e-08
20,1.0,tanh,RMSprop,55,1,3,8.797264e-08
20,1.0,tanh,RMSprop,50,1,3,8.797264e-08
20,1.0,tanh,RMSprop,45,1,3,8.797264e-08
20,1.0,tanh,RMSprop,40,1,3,8.797264e-08
15,1.0,tanh,RMSprop,20,1,3,8.797264e-08
95,1.0,tanh,RMSprop,80,1,3,8.797264e-08
95,1.0,tanh,RMSprop,85,1,3,8.797264e-08
95,1.0,tanh,RMSprop,90,1,3,8.797264e-08
95,1.0,tanh,RMSprop,100,1,3,8.797264e-08
100,1.0,tanh,RMSprop,20,1,3,8.797264e-08
100,1.0,tanh,RMSprop,25,1,3,8.797264e-08
100,1.0,tanh,RMSprop,30,1,3,8.797264e-08
100,1.0,tanh,RMSprop,35,1,3,8.797264e-08
100,1.0,tanh,RMSprop,40,1,3,8.797264e-08
100,1.0,tanh,RMSprop,45,1,3,8.797264e-08
100,1.0,tanh,RMSprop,50,1,3,8.797264e-08
100,1.0,tanh,RMSprop,55,1,3,8.797264e-08
100,1.0,tanh,RMSprop,60,1,3,8.797264e-08
100,1.0,tanh,RMSprop,65,1,3,8.797264e-08
100,1.0,tanh,RMSprop,70,1,3,8.797264e-08
100,1.0,tanh,RMSprop,75,1,3,8.797264e-08
100,1.0,tanh,RMSprop,80,1,3,8.797264e-08
100,1.0,tanh,RMSprop,85,1,3,8.797264e-08
100,1.0,tanh,RMSprop,90,1,3,8.797264e-08
100,1.0,tanh,RMSprop,95,1,3,8.797264e-08
10,1.0,tanh,RMSprop,5,1,3,8.797264e-08
95,1.0,tanh,RMSprop,95,1,3,8.797264e-08
10,1.0,tanh,RMSprop,15,1,3,8.797264e-08
10,1.0,tanh,RMSprop,65,1,3,8.797264e-08
10,1.0,tanh,RMSprop,100,1,3,8.797264e-08
10,1.0,tanh,RMSprop,95,1,3,8.797264e-08
10,1.0,tanh,RMSprop,90,1,3,8.797264e-08
10,1.0,tanh,RMSprop,85,1,3,8.797264e-08
10,1.0,tanh,RMSprop,80,1,3,8.797264e-08
10,1.0,tanh,RMSprop,75,1,3,8.797264e-08
10,1.0,tanh,RMSprop,70,1,3,8.797264e-08
10,1.0,tanh,RMSprop,60,1,3,8.797264e-08
10,1.0,tanh,RMSprop,20,1,3,8.797264e-08
10,1.0,tanh,RMSprop,55,1,3,8.797264e-08
10,1.0,tanh,RMSprop,50,1,3,8.797264e-08
10,1.0,tanh,RMSprop,45,1,3,8.797264e-08
10,1.0,tanh,RMSprop,40,1,3,8.797264e-08
10,1.0,tanh,RMSprop,35,1,3,8.797264e-08
10,1.0,tanh,RMSprop,30,1,3,8.797264e-08
10,1.0,tanh,RMSprop,25,1,3,8.797264e-08
25,1.0,tanh,RMSprop,25,1,3,8.797264e-08
95,1.0,tanh,RMSprop,60,1,3,8.797264e-08
25,1.0,tanh,RMSprop,35,1,3,8.797264e-08
40,1.0,tanh,RMSprop,30,1,3,8.797264e-08
40,1.0,tanh,RMSprop,20,1,3,8.797264e-08
40,1.0,tanh,RMSprop,15,1,3,8.797264e-08
95,1.0,tanh,RMSprop,25,1,3,8.797264e-08
95,1.0,tanh,RMSprop,30,1,3,8.797264e-08
35,1.0,tanh,RMSprop,100,1,3,8.797264e-08
35,1.0,tanh,RMSprop,95,1,3,8.797264e-08
35,1.0,tanh,RMSprop,90,1,3,8.797264e-08
35,1.0,tanh,RMSprop,85,1,3,8.797264e-08
35,1.0,tanh,RMSprop,80,1,3,8.797264e-08
35,1.0,tanh,RMSprop,75,1,3,8.797264e-08
35,1.0,tanh,RMSprop,70,1,3,8.797264e-08
35,1.0,tanh,RMSprop,65,1,3,8.797264e-08
35,1.0,tanh,RMSprop,60,1,3,8.797264e-08
35,1.0,tanh,RMSprop,55,1,3,8.797264e-08
35,1.0,tanh,RMSprop,50,1,3,8.797264e-08
35,1.0,tanh,RMSprop,45,1,3,8.797264e-08
35,1.0,tanh,RMSprop,40,1,3,8.797264e-08
40,1.0,tanh,RMSprop,25,1,3,8.797264e-08
40,1.0,tanh,RMSprop,35,1,3,8.797264e-08
25,1.0,tanh,RMSprop,40,1,3,8.797264e-08
40,1.0,tanh,RMSprop,40,1,3,8.797264e-08
45,1.0,tanh,RMSprop,25,1,3,8.797264e-08
90,1.0,tanh,RMSprop,95,1,3,8.797264e-08
90,1.0,tanh,RMSprop,100,1,3,8.797264e-08
45,1.0,tanh,RMSprop,10,1,3,8.797264e-08
95,1.0,tanh,RMSprop,20,1,3,8.797264e-08
40,1.0,tanh,RMSprop,100,1,3,8.797264e-08
40,1.0,tanh,RMSprop,95,1,3,8.797264e-08
40,1.0,tanh,RMSprop,90,1,3,8.797264e-08
40,1.0,tanh,RMSprop,85,1,3,8.797264e-08
40,1.0,tanh,RMSprop,80,1,3,8.797264e-08
40,1.0,tanh,RMSprop,75,1,3,8.797264e-08
40,1.0,tanh,RMSprop,70,1,3,8.797264e-08
40,1.0,tanh,RMSprop,65,1,3,8.797264e-08
40,1.0,tanh,RMSprop,60,1,3,8.797264e-08
40,1.0,tanh,RMSprop,55,1,3,8.797264e-08
40,1.0,tanh,RMSprop,50,1,3,8.797264e-08
40,1.0,tanh,RMSprop,45,1,3,8.797264e-08
35,1.0,tanh,RMSprop,35,1,3,8.797264e-08
35,1.0,tanh,RMSprop,30,1,3,8.797264e-08
35,1.0,tanh,RMSprop,25,1,3,8.797264e-08
25,1.0,tanh,RMSprop,90,1,3,8.797264e-08
30,1.0,tanh,RMSprop,30,1,3,8.797264e-08
30,1.0,tanh,RMSprop,25,1,3,8.797264e-08
30,1.0,tanh,RMSprop,20,1,3,8.797264e-08
30,1.0,tanh,RMSprop,15,1,3,8.797264e-08
95,1.0,tanh,RMSprop,50,1,3,8.797264e-08
95,1.0,tanh,RMSprop,55,1,3,8.797264e-08
25,1.0,tanh,RMSprop,100,1,3,8.797264e-08
25,1.0,tanh,RMSprop,95,1,3,8.797264e-08
25,1.0,tanh,RMSprop,85,1,3,8.797264e-08
35,1.0,tanh,RMSprop,20,1,3,8.797264e-08
25,1.0,tanh,RMSprop,80,1,3,8.797264e-08
25,1.0,tanh,RMSprop,75,1,3,8.797264e-08
25,1.0,tanh,RMSprop,70,1,3,8.797264e-08
25,1.0,tanh,RMSprop,65,1,3,8.797264e-08
25,1.0,tanh,RMSprop,60,1,3,8.797264e-08
25,1.0,tanh,RMSprop,55,1,3,8.797264e-08
25,1.0,tanh,RMSprop,50,1,3,8.797264e-08
25,1.0,tanh,RMSprop,45,1,3,8.797264e-08
30,1.0,tanh,RMSprop,35,1,3,8.797264e-08
30,1.0,tanh,RMSprop,40,1,3,8.797264e-08
30,1.0,tanh,RMSprop,45,1,3,8.797264e-08
30,1.0,tanh,RMSprop,80,1,3,8.797264e-08
95,1.0,tanh,RMSprop,35,1,3,8.797264e-08
95,1.0,tanh,RMSprop,40,1,3,8.797264e-08
95,1.0,tanh,RMSprop,45,1,3,8.797264e-08
30,1.0,tanh,RMSprop,100,1,3,8.797264e-08
30,1.0,tanh,RMSprop,95,1,3,8.797264e-08
30,1.0,tanh,RMSprop,90,1,3,8.797264e-08
30,1.0,tanh,RMSprop,85,1,3,8.797264e-08
30,1.0,tanh,RMSprop,75,1,3,8.797264e-08
30,1.0,tanh,RMSprop,70,1,3,8.797264e-08
30,1.0,tanh,RMSprop,65,1,3,8.797264e-08
30,1.0,tanh,RMSprop,60,1,3,8.797264e-08
30,1.0,tanh,RMSprop,55,1,3,8.797264e-08
30,1.0,tanh,RMSprop,50,1,3,8.797264e-08
85,1.0,tanh,RMSprop,75,1,3,8.797264e-08
